,step,seq_length_0_loss,seq_length_1_loss,seq_length_2_loss,seq_length_3_loss,seq_length_4_loss,lora_rank_0_loss,lora_rank_1_loss,lora_rank_2_loss,lora_rank_3_loss,lora_rank_4_loss,learning_rate_0_loss,learning_rate_1_loss,learning_rate_2_loss,learning_rate_3_loss,target_modules_0_loss,target_modules_1_loss,target_modules_2_loss,target_modules_3_loss,target_modules_4_loss,target_modules_5_loss,target_modules_6_loss,target_modules_7_loss,batch_size_0_loss,batch_size_1_loss,batch_size_2_loss
0,50,1.2013473510742188,1.1913009881973269,1.1818927526474,1.1731884479522705,1.1669069528579712,1.1662495136260986,1.16646409034729,1.1668392419815063,1.1669704914093018,1.1674331426620483,1.219504475593567,1.2104902267456057,1.1669429540634155,1.0883629322052002,1.19892418384552,1.191333532333374,1.1951491832733154,1.1883749961853027,1.1819627285003662,1.1824966669082642,1.172114372253418,1.1668751239776611,1.1817795038223269,1.1723443269729614,1.1671427488327026
1,101,1.1808360815048218,1.1623340845108032,1.1373592615127563,1.1260268688201904,1.1041792631149292,1.1075642108917236,1.1058083772659302,1.1043422222137451,1.1040699481964111,1.1044323444366455,1.1922184228897097,1.16965913772583,1.1043603420257568,1.0413610935211182,1.1544753313064575,1.1440485715866089,1.1437675952911377,1.1345396041870115,1.1215064525604248,1.1357660293579102,1.1128435134887695,1.1041885614395142,1.1352310180664062,1.1237800121307373,1.1045600175857544
2,152,1.1626795530319214,1.136162042617798,1.11377215385437,1.089092254638672,1.0750398635864258,1.0805162191390991,1.0779521465301514,1.0752454996109009,1.074804186820984,1.075087308883667,1.1717278957366943,1.144304633140564,1.0750868320465088,1.0343133211135864,1.1313889026641846,1.1170238256454468,1.1181281805038452,1.1075546741485596,1.0864412784576416,1.112262725830078,1.0826618671417236,1.0750341415405271,1.1099939346313477,1.0880041122436523,1.0753270387649536
3,203,1.1455615758895874,1.114245057106018,1.0991754531860352,1.0691620111465454,1.0621156692504885,1.0682015419006348,1.0655394792556765,1.0628055334091189,1.0621832609176636,1.0623314380645752,1.1565319299697876,1.127355456352234,1.0624524354934692,1.0345661640167236,1.120501160621643,1.1058266162872314,1.108801245689392,1.097164273262024,1.073543906211853,1.1033391952514648,1.0699338912963867,1.0623441934585571,1.0937012434005735,1.0685044527053833,1.0623189210891724
4,254,1.1321041584014893,1.103865623474121,1.0820767879486084,1.0560941696166992,1.0451593399047852,1.0506048202514648,1.047804832458496,1.0455873012542725,1.04505455493927,1.0449447631835938,1.1458834409713743,1.11381196975708,1.0454299449920654,1.0204930305480957,1.103074312210083,1.0897343158721924,1.0929348468780518,1.0815269947052002,1.056782364845276,1.086076021194458,1.0527619123458862,1.0452394485473633,1.077285885810852,1.0551328659057615,1.045384645462036
5,305,1.1187998056411743,1.0962282419204712,1.069686770439148,1.0500046014785769,1.0328302383422852,1.0395970344543457,1.0360161066055298,1.0336698293685913,1.032668113708496,1.0324627161026,1.135663628578186,1.101589322090149,1.0331835746765137,1.0045592784881592,1.0926594734191897,1.0793824195861816,1.0821483135223389,1.0703821182250977,1.0461242198944092,1.0746901035308838,1.0411841869354248,1.032936930656433,1.065551519393921,1.0488104820251465,1.0330593585968018
6,356,1.1124680042266846,1.0924166440963743,1.0620465278625488,1.043385028839111,1.0217430591583252,1.0270355939865112,1.024501085281372,1.022538185119629,1.021530270576477,1.0213629007339478,1.1267603635787964,1.0914291143417358,1.0219799280166626,0.985079824924469,1.0834388732910156,1.0695843696594238,1.0722354650497437,1.060045838356018,1.0354362726211548,1.0645157098770142,1.030300259590149,1.021859884262085,1.056751728057861,1.0407599210739136,1.0219513177871704
7,407,1.1061066389083862,1.0848863124847412,1.0544722080230713,1.0489567518234253,1.0171743631362915,1.022472262382507,1.0198967456817627,1.017907977104187,1.01688814163208,1.0166741609573364,1.1199445724487305,1.0847817659378052,1.0173271894454956,0.9807218313217164,1.0807000398635864,1.066198229789734,1.0683696269989014,1.0559022426605225,1.0316383838653564,1.0604103803634644,1.026148796081543,1.0171982049942017,1.0501896142959597,1.0434130430221558,1.0172404050827026
8,458,1.1024043560028076,1.0809303522109983,1.0519227981567385,1.0356051921844482,1.0116674900054932,1.0172948837280271,1.0142613649368286,1.0124610662460327,1.0115063190460205,1.0112632513046265,1.114752173423767,1.0797463655471802,1.0119200944900513,0.9796268343925476,1.0755102634429932,1.0608553886413574,1.0636194944381714,1.0509445667266846,1.026453971862793,1.0550470352172852,1.0206174850463867,1.0117967128753662,1.0467860698699951,1.0325100421905518,1.0118892192840576
9,509,1.097198247909546,1.0717977285385132,1.0447425842285156,1.03057062625885,1.006159782409668,1.011157512664795,1.0084549188613892,1.0068687200546265,1.006003499031067,1.0057414770126345,1.109664797782898,1.0742493867874146,1.0062949657440186,0.9640769958496094,1.0702955722808838,1.0554003715515137,1.0583635568618774,1.045657753944397,1.0209763050079346,1.0492711067199707,1.0152215957641602,1.0062469244003296,1.0399024486541748,1.0274101495742798,1.006372332572937
10,560,1.1012146472930908,1.067326545715332,1.04433012008667,1.0243325233459473,1.0009222030639648,1.0059525966644287,1.0031520128250122,1.001654863357544,1.0007319450378418,1.000556230545044,1.10553240776062,1.0702917575836182,1.0012634992599487,0.9554026126861572,1.0666825771331787,1.0514249801635742,1.0545024871826172,1.041667103767395,1.0161809921264648,1.044946312904358,1.0100767612457275,1.000989317893982,1.0390751361846924,1.0219776630401611,1.0012227296829224
11,611,1.0905617475509644,1.0616154670715332,1.0398603677749634,1.020964741706848,0.9978418946266174,1.0031107664108276,1.0005146265029907,0.9988769888877868,0.9976291060447692,0.9974278807640076,1.10260272026062,1.0671446323394775,0.9981992840766908,0.94907808303833,1.0641906261444092,1.0486291646957395,1.0519081354141235,1.0386515855789185,1.0133219957351685,1.0419481992721558,1.0071204900741575,0.9979791045188904,1.0348269939422607,1.0176414251327517,0.9981244802474976
12,662,1.0874024629592896,1.0604692697525024,1.037600040435791,1.016127347946167,0.9958711862564088,1.000707745552063,0.9978471994400024,0.9968212842941284,0.9956855177879332,0.9954404234886168,1.1006386280059814,1.0652672052383425,0.9961124658584596,0.94484281539917,1.0627906322479248,1.0469619035720823,1.0503900051116943,1.0368354320526123,1.0115809440612793,1.040249586105347,1.005271077156067,0.9960375428199768,1.0320401191711426,1.014272928237915,0.9961630702018738
13,713,1.0865036249160769,1.0563993453979492,1.0360515117645264,1.012917399406433,0.9932834506034852,0.9982394576072692,0.9953575134277344,0.9941970109939576,0.9930614829063416,0.9929022789001464,1.098964810371399,1.0634205341339111,0.9935385584831238,0.9363036155700684,1.0607792139053345,1.0449340343475342,1.048316478729248,1.0348633527755735,1.0090878009796145,1.0378679037094116,1.0027292966842651,0.99354487657547,1.029771089553833,1.010866403579712,0.9935438632965088
14,764,1.0860108137130735,1.0535515546798706,1.0322930812835691,1.0116924047470093,0.996280074119568,0.9998306632041932,0.9969798922538756,0.9968767762184144,0.9961197972297668,0.9958347082138062,1.0980558395385742,1.0628483295440674,0.996576726436615,0.95451819896698,1.0631407499313354,1.0471563339233398,1.0502288341522217,1.036533236503601,1.0121068954467771,1.0399750471115112,1.0061017274856567,0.9966732263565063,1.0269172191619873,1.009686827659607,0.9965199828147888
15,815,1.082321286201477,1.052599310874939,1.0342508554458618,1.0103483200073242,0.9917136430740356,0.9965823888778688,0.9933715462684632,0.9926095008850098,0.9914631247520448,0.99126797914505,1.0973033905029297,1.0616637468338013,0.9919204711914062,0.9317235350608826,1.0597642660140991,1.0437332391738892,1.047066569328308,1.033469796180725,1.0078637599945068,1.0364525318145752,1.0013048648834229,0.9918628931045532,1.0275954008102417,1.008395075798035,0.9920095205307008
16,866,1.0810000896453855,1.0515345335006714,1.0320358276367188,1.00963032245636,0.9915506839752196,0.996280074119568,0.9931380152702332,0.9923574924468994,0.9912638664245604,0.991137146949768,1.0970609188079834,1.0615190267562866,0.9917592406272888,0.9304660558700562,1.0598491430282593,1.0436609983444214,1.0471627712249756,1.033356785774231,1.0078175067901611,1.0364588499069214,1.0012096166610718,0.9917348027229308,1.0262658596038818,1.0076582431793213,0.9918707013130188
17,917,1.0805305242538452,1.0514297485351562,1.0314974784851074,1.009247064590454,0.9905241131782532,0.9953757524490356,0.992167592048645,0.9913610219955444,0.9902136325836182,0.9900877475738524,1.09675395488739,1.0610603094100952,0.9907422065734864,0.9264284372329712,1.0589687824249268,1.0428162813186646,1.0462783575057983,1.0325461626052856,1.006784200668335,1.0355664491653442,1.0001192092895508,0.9906596541404724,1.025877594947815,1.0073341131210327,0.9908292889595032
18,968,1.08024799823761,1.051138997077942,1.0313125848770142,1.0090590715408323,0.9902032017707824,0.9950788617134094,0.991883397102356,0.991067111492157,0.989906907081604,0.9897573590278624,1.0966259241104126,1.0609227418899536,0.990422785282135,0.9253005981445312,1.0587234497070312,1.0425430536270142,1.0460081100463867,1.0322861671447754,1.0065069198608398,1.0352814197540283,0.999813437461853,0.9903702139854432,1.025680422782898,1.0071656703948977,0.9904998540878296
19,1019,1.0802209377288818,1.0511023998260498,1.0312825441360474,1.0090142488479614,0.9901326894760132,0.9950178265571594,0.991832971572876,0.9910231828689576,0.9898518919944764,0.9897197484970092,1.096603274345398,1.060883402824402,0.9903823137283324,0.9251011610031128,1.0586836338043213,1.04251229763031,1.0459792613983154,1.032252550125122,1.0064367055892944,1.0352543592453003,0.9997380971908568,0.9903182983398438,1.0256378650665283,1.0071107149124146,0.9904503226280212
