"Step","codegen-java-LoRa-v7-run-1-effective_seq_length_train-1-256-wandb - eval/loss","codegen-java-LoRa-v7-run-1-effective_seq_length_train-1-256-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-effective_seq_length_train-1-256-wandb - eval/loss__MAX"
"50","1.1913009881973267","1.1913009881973267","1.1913009881973267"
"101","1.1623340845108032","1.1623340845108032","1.1623340845108032"
"152","1.1361620426177979","1.1361620426177979","1.1361620426177979"
"203","1.114245057106018","1.114245057106018","1.114245057106018"
"254","1.103865623474121","1.103865623474121","1.103865623474121"
"305","1.0962282419204712","1.0962282419204712","1.0962282419204712"
"356","1.0924166440963745","1.0924166440963745","1.0924166440963745"
"407","1.0848863124847412","1.0848863124847412","1.0848863124847412"
"458","1.0809303522109985","1.0809303522109985","1.0809303522109985"
"509","1.0717977285385132","1.0717977285385132","1.0717977285385132"
"560","1.067326545715332","1.067326545715332","1.067326545715332"
"611","1.0616154670715332","1.0616154670715332","1.0616154670715332"
"662","1.0604692697525024","1.0604692697525024","1.0604692697525024"
"713","1.0563993453979492","1.0563993453979492","1.0563993453979492"
"764","1.0535515546798706","1.0535515546798706","1.0535515546798706"
"815","1.052599310874939","1.052599310874939","1.052599310874939"
"866","1.0515345335006714","1.0515345335006714","1.0515345335006714"
"917","1.0514297485351562","1.0514297485351562","1.0514297485351562"
"968","1.051138997077942","1.051138997077942","1.051138997077942"
"1019","1.0511023998260498","1.0511023998260498","1.0511023998260498"