"Step","codegen-java-LoRa-v7-run-1-lora_target_modules-6-['qkv_proj', 'fc_in', 'fc_out']-wandb - eval/loss","codegen-java-LoRa-v7-run-1-lora_target_modules-6-['qkv_proj', 'fc_in', 'fc_out']-wandb - eval/loss__MIN","codegen-java-LoRa-v7-run-1-lora_target_modules-6-['qkv_proj', 'fc_in', 'fc_out']-wandb - eval/loss__MAX"
"50","1.172114372253418","1.172114372253418","1.172114372253418"
"101","1.1128435134887695","1.1128435134887695","1.1128435134887695"
"152","1.0826618671417236","1.0826618671417236","1.0826618671417236"
"203","1.0699338912963867","1.0699338912963867","1.0699338912963867"
"254","1.0527619123458862","1.0527619123458862","1.0527619123458862"
"305","1.0411841869354248","1.0411841869354248","1.0411841869354248"
"356","1.030300259590149","1.030300259590149","1.030300259590149"
"407","1.026148796081543","1.026148796081543","1.026148796081543"
"458","1.0206174850463867","1.0206174850463867","1.0206174850463867"
"509","1.0152215957641602","1.0152215957641602","1.0152215957641602"
"560","1.0100767612457275","1.0100767612457275","1.0100767612457275"
"611","1.0071204900741577","1.0071204900741577","1.0071204900741577"
"662","1.005271077156067","1.005271077156067","1.005271077156067"
"713","1.0027292966842651","1.0027292966842651","1.0027292966842651"
"764","1.0061017274856567","1.0061017274856567","1.0061017274856567"
"815","1.0013048648834229","1.0013048648834229","1.0013048648834229"
"866","1.0012096166610718","1.0012096166610718","1.0012096166610718"
"917","1.0001192092895508","1.0001192092895508","1.0001192092895508"
"968","0.999813437461853","0.999813437461853","0.999813437461853"
"1019","0.9997380971908569","0.9997380971908569","0.9997380971908569"