"Step","seq_512_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_6_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_6_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_6_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_5_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_5_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_5_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_4_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_4_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_4_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_3_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_3_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_3_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_2_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_2_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_2_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_1_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_1_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_1_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_0_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_0_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_0_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX"
"24","1.2899525165557861","1.2899525165557861","1.2899525165557861","1.292197346687317","1.292197346687317","1.292197346687317","1.2971696853637695","1.2971696853637695","1.2971696853637695","1.3020942211151123","1.3020942211151123","1.3020942211151123","1.3051795959472656","1.3051795959472656","1.3051795959472656","1.3068450689315796","1.3068450689315796","1.3068450689315796","1.306662678718567","1.306662678718567","1.306662678718567","1.3087689876556396","1.3087689876556396","1.3087689876556396"
"49","1.2653824090957642","1.2653824090957642","1.2653824090957642","1.2690309286117554","1.2690309286117554","1.2690309286117554","1.2754852771759033","1.2754852771759033","1.2754852771759033","1.2796809673309326","1.2796809673309326","1.2796809673309326","1.2851600646972656","1.2851600646972656","1.2851600646972656","1.2884126901626587","1.2884126901626587","1.2884126901626587","1.2888511419296265","1.2888511419296265","1.2888511419296265","1.293263554573059","1.293263554573059","1.293263554573059"
"74","1.2500029802322388","1.2500029802322388","1.2500029802322388","1.255058765411377","1.255058765411377","1.255058765411377","1.2644580602645874","1.2644580602645874","1.2644580602645874","1.2646392583847046","1.2646392583847046","1.2646392583847046","1.270811676979065","1.270811676979065","1.270811676979065","1.274571418762207","1.274571418762207","1.274571418762207","1.2763032913208008","1.2763032913208008","1.2763032913208008","1.281430959701538","1.281430959701538","1.281430959701538"
"99","1.2367396354675293","1.2367396354675293","1.2367396354675293","1.2429605722427368","1.2429605722427368","1.2429605722427368","1.2550431489944458","1.2550431489944458","1.2550431489944458","1.2515372037887573","1.2515372037887573","1.2515372037887573","1.260019063949585","1.260019063949585","1.260019063949585","1.2647076845169067","1.2647076845169067","1.2647076845169067","1.2665668725967407","1.2665668725967407","1.2665668725967407","1.272209644317627","1.272209644317627","1.272209644317627"
"124","1.2275221347808838","1.2275221347808838","1.2275221347808838","1.2344988584518433","1.2344988584518433","1.2344988584518433","1.2488489151000977","1.2488489151000977","1.2488489151000977","1.2417573928833008","1.2417573928833008","1.2417573928833008","1.252219796180725","1.252219796180725","1.252219796180725","1.2579838037490845","1.2579838037490845","1.2579838037490845","1.2594085931777954","1.2594085931777954","1.2594085931777954","1.2655192613601685","1.2655192613601685","1.2655192613601685"
"149","1.2225167751312256","1.2225167751312256","1.2225167751312256","1.2298808097839355","1.2298808097839355","1.2298808097839355","1.2464278936386108","1.2464278936386108","1.2464278936386108","1.2352129220962524","1.2352129220962524","1.2352129220962524","1.2470399141311646","1.2470399141311646","1.2470399141311646","1.2533080577850342","1.2533080577850342","1.2533080577850342","1.2548004388809204","1.2548004388809204","1.2548004388809204","1.2611712217330933","1.2611712217330933","1.2611712217330933"
"174","1.213971734046936","1.213971734046936","1.213971734046936","1.2214562892913818","1.2214562892913818","1.2214562892913818","1.2407222986221313","1.2407222986221313","1.2407222986221313","1.2264785766601562","1.2264785766601562","1.2264785766601562","1.2408514022827148","1.2408514022827148","1.2408514022827148","1.2478591203689575","1.2478591203689575","1.2478591203689575","1.248740792274475","1.248740792274475","1.248740792274475","1.2556602954864502","1.2556602954864502","1.2556602954864502"
"199","1.2104781866073608","1.2104781866073608","1.2104781866073608","1.218636393547058","1.218636393547058","1.218636393547058","1.2400134801864624","1.2400134801864624","1.2400134801864624","1.2228670120239258","1.2228670120239258","1.2228670120239258","1.2382656335830688","1.2382656335830688","1.2382656335830688","1.2455936670303345","1.2455936670303345","1.2455936670303345","1.2466765642166138","1.2466765642166138","1.2466765642166138","1.2538158893585205","1.2538158893585205","1.2538158893585205"
"224","1.204300045967102","1.204300045967102","1.204300045967102","1.211788535118103","1.211788535118103","1.211788535118103","1.2347638607025146","1.2347638607025146","1.2347638607025146","1.2170952558517456","1.2170952558517456","1.2170952558517456","1.2337112426757812","1.2337112426757812","1.2337112426757812","1.2414497137069702","1.2414497137069702","1.2414497137069702","1.2424010038375854","1.2424010038375854","1.2424010038375854","1.2499996423721313","1.2499996423721313","1.2499996423721313"
"249","1.2000669240951538","1.2000669240951538","1.2000669240951538","1.2069412469863892","1.2069412469863892","1.2069412469863892","1.2313674688339233","1.2313674688339233","1.2313674688339233","1.21282160282135","1.21282160282135","1.21282160282135","1.230352520942688","1.230352520942688","1.230352520942688","1.2383426427841187","1.2383426427841187","1.2383426427841187","1.2394076585769653","1.2394076585769653","1.2394076585769653","1.2471507787704468","1.2471507787704468","1.2471507787704468"
"274","1.1953864097595215","1.1953864097595215","1.1953864097595215","1.2016273736953735","1.2016273736953735","1.2016273736953735","1.2279942035675049","1.2279942035675049","1.2279942035675049","1.207706093788147","1.207706093788147","1.207706093788147","1.226897120475769","1.226897120475769","1.226897120475769","1.235394835472107","1.235394835472107","1.235394835472107","1.236151933670044","1.236151933670044","1.236151933670044","1.244274616241455","1.244274616241455","1.244274616241455"
"299","1.1917450428009033","1.1917450428009033","1.1917450428009033","1.197380542755127","1.197380542755127","1.197380542755127","1.2249079942703247","1.2249079942703247","1.2249079942703247","1.203845500946045","1.203845500946045","1.203845500946045","1.2238157987594604","1.2238157987594604","1.2238157987594604","1.2324832677841187","1.2324832677841187","1.2324832677841187","1.23323392868042","1.23323392868042","1.23323392868042","1.2415876388549805","1.2415876388549805","1.2415876388549805"
"324","1.1879056692123413","1.1879056692123413","1.1879056692123413","1.1930948495864868","1.1930948495864868","1.1930948495864868","1.2219661474227905","1.2219661474227905","1.2219661474227905","1.199857473373413","1.199857473373413","1.199857473373413","1.221167802810669","1.221167802810669","1.221167802810669","1.2299911975860596","1.2299911975860596","1.2299911975860596","1.2307250499725342","1.2307250499725342","1.2307250499725342","1.2393219470977783","1.2393219470977783","1.2393219470977783"
"349","1.1856025457382202","1.1856025457382202","1.1856025457382202","1.190758228302002","1.190758228302002","1.190758228302002","1.2201530933380127","1.2201530933380127","1.2201530933380127","1.1973884105682373","1.1973884105682373","1.1973884105682373","1.2190933227539062","1.2190933227539062","1.2190933227539062","1.2280354499816895","1.2280354499816895","1.2280354499816895","1.2289063930511475","1.2289063930511475","1.2289063930511475","1.2377004623413086","1.2377004623413086","1.2377004623413086"
"374","1.1828653812408447","1.1828653812408447","1.1828653812408447","1.1879297494888306","1.1879297494888306","1.1879297494888306","1.2178739309310913","1.2178739309310913","1.2178739309310913","1.1948109865188599","1.1948109865188599","1.1948109865188599","1.216995358467102","1.216995358467102","1.216995358467102","1.226076602935791","1.226076602935791","1.226076602935791","1.2271177768707275","1.2271177768707275","1.2271177768707275","1.236149787902832","1.236149787902832","1.236149787902832"
"399","1.180779218673706","1.180779218673706","1.180779218673706","1.185621976852417","1.185621976852417","1.185621976852417","1.2161520719528198","1.2161520719528198","1.2161520719528198","1.1925389766693115","1.1925389766693115","1.1925389766693115","1.2155622243881226","1.2155622243881226","1.2155622243881226","1.2247008085250854","1.2247008085250854","1.2247008085250854","1.225724458694458","1.225724458694458","1.225724458694458","1.2348817586898804","1.2348817586898804","1.2348817586898804"
"424","1.179749846458435","1.179749846458435","1.179749846458435","1.1845608949661255","1.1845608949661255","1.1845608949661255","1.2153844833374023","1.2153844833374023","1.2153844833374023","1.191381812095642","1.191381812095642","1.191381812095642","1.2147084474563599","1.2147084474563599","1.2147084474563599","1.2237986326217651","1.2237986326217651","1.2237986326217651","1.2249809503555298","1.2249809503555298","1.2249809503555298","1.2341409921646118","1.2341409921646118","1.2341409921646118"
"449","1.1787922382354736","1.1787922382354736","1.1787922382354736","1.1834721565246582","1.1834721565246582","1.1834721565246582","1.2146022319793701","1.2146022319793701","1.2146022319793701","1.1903024911880493","1.1903024911880493","1.1903024911880493","1.2140660285949707","1.2140660285949707","1.2140660285949707","1.2232391834259033","1.2232391834259033","1.2232391834259033","1.2244187593460083","1.2244187593460083","1.2244187593460083","1.2336738109588623","1.2336738109588623","1.2336738109588623"
"474","1.1782395839691162","1.1782395839691162","1.1782395839691162","1.1829930543899536","1.1829930543899536","1.1829930543899536","1.2142174243927002","1.2142174243927002","1.2142174243927002","1.1897765398025513","1.1897765398025513","1.1897765398025513","1.2136460542678833","1.2136460542678833","1.2136460542678833","1.2228164672851562","1.2228164672851562","1.2228164672851562","1.2240923643112183","1.2240923643112183","1.2240923643112183","1.2333829402923584","1.2333829402923584","1.2333829402923584"
"499","1.1778448820114136","1.1778448820114136","1.1778448820114136","1.1826156377792358","1.1826156377792358","1.1826156377792358","1.2139053344726562","1.2139053344726562","1.2139053344726562","1.189416527748108","1.189416527748108","1.189416527748108","1.2133747339248657","1.2133747339248657","1.2133747339248657","1.222579836845398","1.222579836845398","1.222579836845398","1.22382390499115","1.22382390499115","1.22382390499115","1.233189582824707","1.233189582824707","1.233189582824707"