"Step","seq_2048_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_2048_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_2048_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_1024_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_1024_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_1024_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_512_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_512_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_512_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_256_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss","seq_256_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MIN","seq_256_rank_16_module_7_bs_4_gradacc_1_tokens_1000000_LoRa - eval/loss__MAX","seq_128_rank_16_module_7_bs_4_gradacc_1_tokens_512000_LoRa - eval/loss","seq_128_rank_16_module_7_bs_4_gradacc_1_tokens_512000_LoRa - eval/loss__MIN","seq_128_rank_16_module_7_bs_4_gradacc_1_tokens_512000_LoRa - eval/loss__MAX"
"6","1.3144605159759521","1.3144605159759521","1.3144605159759521","","","","","","","","","","","",""
"12","","","","1.3052312135696411","1.3052312135696411","1.3052312135696411","","","","","","","","",""
"13","1.2998791933059692","1.2998791933059692","1.2998791933059692","","","","","","","","","","","",""
"20","1.286321759223938","1.286321759223938","1.286321759223938","","","","","","","","","","","",""
"24","","","","","","","1.2895561456680298","1.2895561456680298","1.2895561456680298","","","","","",""
"25","","","","1.28159499168396","1.28159499168396","1.28159499168396","","","","","","","","",""
"27","1.2753715515136719","1.2753715515136719","1.2753715515136719","","","","","","","","","","","",""
"34","1.2672311067581177","1.2672311067581177","1.2672311067581177","","","","","","","","","","","",""
"38","","","","1.2666888236999512","1.2666888236999512","1.2666888236999512","","","","","","","","",""
"41","1.2610031366348267","1.2610031366348267","1.2610031366348267","","","","","","","","","","","",""
"48","1.2554676532745361","1.2554676532745361","1.2554676532745361","","","","","","","1.277677297592163","1.277677297592163","1.277677297592163","","",""
"49","","","","","","","1.264932632446289","1.264932632446289","1.264932632446289","","","","","",""
"50","","","","","","","","","","","","","1.2945553064346313","1.2945553064346313","1.2945553064346313"
"51","","","","1.255334496498108","1.255334496498108","1.255334496498108","","","","","","","","",""
"55","1.251121163368225","1.251121163368225","1.251121163368225","","","","","","","","","","","",""
"62","1.247130036354065","1.247130036354065","1.247130036354065","","","","","","","","","","","",""
"64","","","","1.2461307048797607","1.2461307048797607","1.2461307048797607","","","","","","","","",""
"69","1.2438666820526123","1.2438666820526123","1.2438666820526123","","","","","","","","","","","",""
"74","","","","","","","1.249428153038025","1.249428153038025","1.249428153038025","","","","","",""
"76","1.2406272888183594","1.2406272888183594","1.2406272888183594","","","","","","","","","","","",""
"77","","","","1.2397364377975464","1.2397364377975464","1.2397364377975464","","","","","","","","",""
"83","1.2375171184539795","1.2375171184539795","1.2375171184539795","","","","","","","","","","","",""
"90","1.2348006963729858","1.2348006963729858","1.2348006963729858","1.2330386638641357","1.2330386638641357","1.2330386638641357","","","","","","","","",""
"97","1.232479453086853","1.232479453086853","1.232479453086853","","","","","","","1.2553126811981201","1.2553126811981201","1.2553126811981201","","",""
"99","","","","","","","1.2361031770706177","1.2361031770706177","1.2361031770706177","","","","","",""
"101","","","","","","","","","","","","","1.2713600397109985","1.2713600397109985","1.2713600397109985"
"103","","","","1.2290372848510742","1.2290372848510742","1.2290372848510742","","","","","","","","",""
"104","1.2304050922393799","1.2304050922393799","1.2304050922393799","","","","","","","","","","","",""
"111","1.2287580966949463","1.2287580966949463","1.2287580966949463","","","","","","","","","","","",""
"116","","","","1.2243568897247314","1.2243568897247314","1.2243568897247314","","","","","","","","",""
"118","1.2275381088256836","1.2275381088256836","1.2275381088256836","","","","","","","","","","","",""
"124","","","","","","","1.2268890142440796","1.2268890142440796","1.2268890142440796","","","","","",""
"125","1.2267223596572876","1.2267223596572876","1.2267223596572876","","","","","","","","","","","",""
"129","","","","1.2202085256576538","1.2202085256576538","1.2202085256576538","","","","","","","","",""
"132","1.2262566089630127","1.2262566089630127","1.2262566089630127","","","","","","","","","","","",""
"139","1.2260105609893799","1.2260105609893799","1.2260105609893799","","","","","","","","","","","",""
"142","","","","1.2157541513442993","1.2157541513442993","1.2157541513442993","","","","","","","","",""
"146","","","","","","","","","","1.238896369934082","1.238896369934082","1.238896369934082","","",""
"149","","","","","","","1.2218122482299805","1.2218122482299805","1.2218122482299805","","","","","",""
"152","","","","","","","","","","","","","1.2604929208755493","1.2604929208755493","1.2604929208755493"
"155","","","","1.2116914987564087","1.2116914987564087","1.2116914987564087","","","","","","","","",""
"168","","","","1.2081049680709839","1.2081049680709839","1.2081049680709839","","","","","","","","",""
"174","","","","","","","1.2132766246795654","1.2132766246795654","1.2132766246795654","","","","","",""
"181","","","","1.205100655555725","1.205100655555725","1.205100655555725","","","","","","","","",""
"194","","","","1.202449917793274","1.202449917793274","1.202449917793274","","","","","","","","",""
"195","","","","","","","","","","1.2241257429122925","1.2241257429122925","1.2241257429122925","","",""
"199","","","","","","","1.2099295854568481","1.2099295854568481","1.2099295854568481","","","","","",""
"203","","","","","","","","","","","","","1.250515103340149","1.250515103340149","1.250515103340149"
"207","","","","1.2004671096801758","1.2004671096801758","1.2004671096801758","","","","","","","","",""
"220","","","","1.1992487907409668","1.1992487907409668","1.1992487907409668","","","","","","","","",""
"224","","","","","","","1.2038555145263672","1.2038555145263672","1.2038555145263672","","","","","",""
"233","","","","1.1983550786972046","1.1983550786972046","1.1983550786972046","","","","","","","","",""
"244","","","","","","","","","","1.2162998914718628","1.2162998914718628","1.2162998914718628","","",""
"246","","","","1.1978404521942139","1.1978404521942139","1.1978404521942139","","","","","","","","",""
"249","","","","","","","1.199601173400879","1.199601173400879","1.199601173400879","","","","","",""
"254","","","","","","","","","","","","","1.2385706901550293","1.2385706901550293","1.2385706901550293"
"259","","","","1.1975376605987549","1.1975376605987549","1.1975376605987549","","","","","","","","",""
"274","","","","","","","1.1949199438095093","1.1949199438095093","1.1949199438095093","","","","","",""
"293","","","","","","","","","","1.210729718208313","1.210729718208313","1.210729718208313","","",""
"299","","","","","","","1.1911824941635132","1.1911824941635132","1.1911824941635132","","","","","",""
"305","","","","","","","","","","","","","1.2313969135284424","1.2313969135284424","1.2313969135284424"
"324","","","","","","","1.18735933303833","1.18735933303833","1.18735933303833","","","","","",""
"342","","","","","","","","","","1.2023180723190308","1.2023180723190308","1.2023180723190308","","",""
"349","","","","","","","1.1850957870483398","1.1850957870483398","1.1850957870483398","","","","","",""
"356","","","","","","","","","","","","","1.2242096662521362","1.2242096662521362","1.2242096662521362"
"374","","","","","","","1.1823335886001587","1.1823335886001587","1.1823335886001587","","","","","",""
"391","","","","","","","","","","1.1996889114379883","1.1996889114379883","1.1996889114379883","","",""
"399","","","","","","","1.180309772491455","1.180309772491455","1.180309772491455","","","","","",""
"407","","","","","","","","","","","","","1.2172597646713257","1.2172597646713257","1.2172597646713257"
"424","","","","","","","1.1792724132537842","1.1792724132537842","1.1792724132537842","","","","","",""
"440","","","","","","","","","","1.1920322179794312","1.1920322179794312","1.1920322179794312","","",""
"449","","","","","","","1.1782909631729126","1.1782909631729126","1.1782909631729126","","","","","",""
"458","","","","","","","","","","","","","1.213435173034668","1.213435173034668","1.213435173034668"
"474","","","","","","","1.1777819395065308","1.1777819395065308","1.1777819395065308","","","","","",""
"489","","","","","","","","","","1.1866627931594849","1.1866627931594849","1.1866627931594849","","",""
"499","","","","","","","1.177391767501831","1.177391767501831","1.177391767501831","","","","","",""
"509","","","","","","","","","","","","","1.2090234756469727","1.2090234756469727","1.2090234756469727"
"538","","","","","","","","","","1.1825530529022217","1.1825530529022217","1.1825530529022217","","",""
"560","","","","","","","","","","","","","1.2113978862762451","1.2113978862762451","1.2113978862762451"
"587","","","","","","","","","","1.177554726600647","1.177554726600647","1.177554726600647","","",""
"611","","","","","","","","","","","","","1.203669548034668","1.203669548034668","1.203669548034668"
"636","","","","","","","","","","1.1747552156448364","1.1747552156448364","1.1747552156448364","","",""
"662","","","","","","","","","","","","","1.200242042541504","1.200242042541504","1.200242042541504"
"685","","","","","","","","","","1.1728626489639282","1.1728626489639282","1.1728626489639282","","",""
"713","","","","","","","","","","","","","1.1996634006500244","1.1996634006500244","1.1996634006500244"
"734","","","","","","","","","","1.169488549232483","1.169488549232483","1.169488549232483","","",""
"764","","","","","","","","","","","","","1.2001360654830933","1.2001360654830933","1.2001360654830933"
"783","","","","","","","","","","1.1665260791778564","1.1665260791778564","1.1665260791778564","","",""
"815","","","","","","","","","","","","","1.1954362392425537","1.1954362392425537","1.1954362392425537"
"832","","","","","","","","","","1.1651828289031982","1.1651828289031982","1.1651828289031982","","",""
"866","","","","","","","","","","","","","1.1933674812316895","1.1933674812316895","1.1933674812316895"
"881","","","","","","","","","","1.164620280265808","1.164620280265808","1.164620280265808","","",""
"917","","","","","","","","","","","","","1.192703366279602","1.192703366279602","1.192703366279602"
"930","","","","","","","","","","1.1641122102737427","1.1641122102737427","1.1641122102737427","","",""
"968","","","","","","","","","","","","","1.1916208267211914","1.1916208267211914","1.1916208267211914"
"979","","","","","","","","","","1.1636090278625488","1.1636090278625488","1.1636090278625488","","",""
"1019","","","","","","","","","","","","","1.191346526145935","1.191346526145935","1.191346526145935"